date,daily-stars,total-stars
06-06-2014,0,0
07-06-2014,0,0
08-06-2014,0,0
09-06-2014,0,0
10-06-2014,352,352
11-06-2014,412,764
12-06-2014,155,919
13-06-2014,98,1017
14-06-2014,27,1044
15-06-2014,38,1082
16-06-2014,79,1161
17-06-2014,64,1225
18-06-2014,53,1278
19-06-2014,35,1313
20-06-2014,25,1338
21-06-2014,11,1349
22-06-2014,10,1359
23-06-2014,18,1377
24-06-2014,10,1387
25-06-2014,12,1399
26-06-2014,18,1417
27-06-2014,19,1436
28-06-2014,6,1442
29-06-2014,8,1450
30-06-2014,12,1462
01-07-2014,17,1479
02-07-2014,21,1500
03-07-2014,9,1509
04-07-2014,12,1521
05-07-2014,1,1522
06-07-2014,6,1528
07-07-2014,10,1538
08-07-2014,12,1550
09-07-2014,12,1562
10-07-2014,177,1739
11-07-2014,243,1982
12-07-2014,53,2035
13-07-2014,35,2070
14-07-2014,44,2114
15-07-2014,44,2158
16-07-2014,27,2185
17-07-2014,28,2213
18-07-2014,27,2240
19-07-2014,14,2254
20-07-2014,19,2273
21-07-2014,22,2295
22-07-2014,17,2312
23-07-2014,28,2340
24-07-2014,31,2371
25-07-2014,19,2390
26-07-2014,4,2394
27-07-2014,8,2402
28-07-2014,18,2420
29-07-2014,16,2436
30-07-2014,27,2463
31-07-2014,35,2498
01-08-2014,13,2511
02-08-2014,11,2522
03-08-2014,6,2528
04-08-2014,10,2538
05-08-2014,15,2553
06-08-2014,11,2564
07-08-2014,8,2572
08-08-2014,11,2583
09-08-2014,5,2588
10-08-2014,5,2593
11-08-2014,11,2604
12-08-2014,12,2616
13-08-2014,12,2628
14-08-2014,13,2641
15-08-2014,11,2652
16-08-2014,8,2660
17-08-2014,11,2671
18-08-2014,20,2691
19-08-2014,33,2724
20-08-2014,27,2751
21-08-2014,10,2761
22-08-2014,15,2776
23-08-2014,5,2781
24-08-2014,6,2787
25-08-2014,27,2814
26-08-2014,18,2832
27-08-2014,21,2853
28-08-2014,19,2872
29-08-2014,22,2894
30-08-2014,16,2910
31-08-2014,7,2917
01-09-2014,17,2934
02-09-2014,16,2950
03-09-2014,19,2969
04-09-2014,16,2985
05-09-2014,18,3003
06-09-2014,5,3008
07-09-2014,3,3011
08-09-2014,13,3024
09-09-2014,20,3044
10-09-2014,14,3058
11-09-2014,18,3076
12-09-2014,8,3084
13-09-2014,7,3091
14-09-2014,11,3102
15-09-2014,16,3118
16-09-2014,16,3134
17-09-2014,13,3147
18-09-2014,11,3158
19-09-2014,26,3184
20-09-2014,14,3198
21-09-2014,9,3207
22-09-2014,14,3221
23-09-2014,13,3234
24-09-2014,24,3258
25-09-2014,15,3273
26-09-2014,14,3287
27-09-2014,9,3296
28-09-2014,5,3301
29-09-2014,15,3316
30-09-2014,20,3336
01-10-2014,12,3348
02-10-2014,15,3363
03-10-2014,7,3370
04-10-2014,7,3377
05-10-2014,5,3382
06-10-2014,13,3395
07-10-2014,20,3415
08-10-2014,16,3431
09-10-2014,10,3441
10-10-2014,14,3455
11-10-2014,8,3463
12-10-2014,9,3472
13-10-2014,9,3481
14-10-2014,10,3491
15-10-2014,17,3508
16-10-2014,15,3523
17-10-2014,11,3534
18-10-2014,9,3543
19-10-2014,8,3551
20-10-2014,12,3563
21-10-2014,16,3579
22-10-2014,15,3594
23-10-2014,17,3611
24-10-2014,13,3624
25-10-2014,7,3631
26-10-2014,10,3641
27-10-2014,14,3655
28-10-2014,15,3670
29-10-2014,10,3680
30-10-2014,24,3704
31-10-2014,14,3718
01-11-2014,10,3728
02-11-2014,10,3738
03-11-2014,15,3753
04-11-2014,63,3816
05-11-2014,65,3881
06-11-2014,29,3910
07-11-2014,29,3939
08-11-2014,9,3948
09-11-2014,17,3965
10-11-2014,28,3993
11-11-2014,61,4054
12-11-2014,54,4108
13-11-2014,55,4163
14-11-2014,26,4189
15-11-2014,18,4207
16-11-2014,14,4221
17-11-2014,26,4247
18-11-2014,20,4267
19-11-2014,20,4287
20-11-2014,31,4318
21-11-2014,20,4338
22-11-2014,17,4355
23-11-2014,18,4373
24-11-2014,19,4392
25-11-2014,17,4409
26-11-2014,16,4425
27-11-2014,31,4456
28-11-2014,32,4488
29-11-2014,11,4499
30-11-2014,21,4520
01-12-2014,17,4537
02-12-2014,22,4559
03-12-2014,22,4581
04-12-2014,46,4627
05-12-2014,23,4650
06-12-2014,17,4667
07-12-2014,9,4676
08-12-2014,11,4687
09-12-2014,20,4707
10-12-2014,18,4725
11-12-2014,18,4743
12-12-2014,15,4758
13-12-2014,12,4770
14-12-2014,14,4784
15-12-2014,15,4799
16-12-2014,19,4818
17-12-2014,17,4835
18-12-2014,11,4846
19-12-2014,10,4856
20-12-2014,10,4866
21-12-2014,10,4876
22-12-2014,8,4884
23-12-2014,14,4898
24-12-2014,5,4903
25-12-2014,7,4910
26-12-2014,8,4918
27-12-2014,6,4924
28-12-2014,6,4930
29-12-2014,11,4941
30-12-2014,10,4951
31-12-2014,5,4956
01-01-2015,7,4963
02-01-2015,9,4972
03-01-2015,9,4981
04-01-2015,10,4991
05-01-2015,14,5005
06-01-2015,11,5016
07-01-2015,11,5027
08-01-2015,12,5039
09-01-2015,14,5053
10-01-2015,7,5060
11-01-2015,6,5066
12-01-2015,10,5076
13-01-2015,13,5089
14-01-2015,17,5106
15-01-2015,16,5122
16-01-2015,11,5133
17-01-2015,5,5138
18-01-2015,10,5148
19-01-2015,13,5161
20-01-2015,16,5177
21-01-2015,12,5189
22-01-2015,15,5204
23-01-2015,12,5216
24-01-2015,7,5223
25-01-2015,11,5234
26-01-2015,7,5241
27-01-2015,16,5257
28-01-2015,15,5272
29-01-2015,19,5291
30-01-2015,16,5307
31-01-2015,8,5315
01-02-2015,12,5327
02-02-2015,26,5353
03-02-2015,14,5367
04-02-2015,20,5387
05-02-2015,16,5403
06-02-2015,13,5416
07-02-2015,12,5428
08-02-2015,4,5432
09-02-2015,12,5444
10-02-2015,22,5466
11-02-2015,13,5479
12-02-2015,12,5491
13-02-2015,16,5507
14-02-2015,8,5515
15-02-2015,8,5523
16-02-2015,21,5544
17-02-2015,11,5555
18-02-2015,9,5564
19-02-2015,10,5574
20-02-2015,3,5577
21-02-2015,7,5584
22-02-2015,9,5593
23-02-2015,10,5603
24-02-2015,8,5611
25-02-2015,19,5630
26-02-2015,13,5643
27-02-2015,17,5660
28-02-2015,9,5669
01-03-2015,6,5675
02-03-2015,6,5681
03-03-2015,23,5704
04-03-2015,19,5723
